2015-10-11 21:26:31,992 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:44:40,468 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"nvxdV7V_Cq8QPDDDD-8fpxm_RKXaSk13tTSwJiMdzCfE7xX7_sP06SYcsGd6JG-Xjbg1og0ToeRHqdSeKtatXxSOogLaPCMwivH1M9kgKao","expires_in":7199}
2015-10-11 21:44:40,609 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:40,685 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:45:28,519 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:45:28,972 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:45:29,067 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"VqRc7cpRvgLaWydHStmHxeY4T5nGumjbEuO2qrkLMs2pC89BfKO9HdNDn3woHngowZpeRzo5ZL0GMzdYXTnPvhctS4V9kMYWP_vsfthdK0A","expires_in":7200}
2015-10-11 21:45:29,327 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:45:29,403 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"VqRc7cpRvgLaWydHStmHxeY4T5nGumjbEuO2qrkLMs3MtjGQ7p48uUmtHwS9HbZhy7wUWrvinsJhUdWFVo0BQInsbx_o1TjeU-wb_vUY-nw","expires_in":7200}
2015-10-11 21:45:29,592 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [otODoa0128vr19]"}
2015-10-11 21:45:29,717 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:45:29,780 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"VqRc7cpRvgLaWydHStmHxeY4T5nGumjbEuO2qrkLMs3aCKnZRvj06Sa6q0OWEpkFRHQhJqk3TIftMgGXFTme9I5QJkSBh7Mwzq7H9AvL-Wk","expires_in":7200}
2015-10-11 21:45:29,906 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:45:29,987 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:46:09,766 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:46:10,210 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:46:10,289 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"3UaNlagL7wee5PyURjCTNL_jGDm91XDgZkMt2vmphbCQf-pYBTziwkqfBZWwWxJPR73RbAdAr1_28Q9QT5IjN2rGkBLDwGcDxLc5dIRtxuQ","expires_in":7200}
2015-10-11 21:46:10,545 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:46:10,613 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"3UaNlagL7wee5PyURjCTNL_jGDm91XDgZkMt2vmphbCQf-pYBTziwkqfBZWwWxJPR73RbAdAr1_28Q9QT5IjN2rGkBLDwGcDxLc5dIRtxuQ","expires_in":7200}
2015-10-11 21:46:10,807 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [xyxu5a0169vr18]"}
2015-10-11 21:46:10,953 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:46:11,012 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"3UaNlagL7wee5PyURjCTNL_jGDm91XDgZkMt2vmphbDd9Klh9kf3AiccR9N3GjnbqQ07mEFm8khEhQvXBphzi1Qak-DyD2QTh9Z0zzyS940","expires_in":7199}
2015-10-11 21:46:11,147 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:46:11,229 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:47:15,162 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:47:16,049 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:16,139 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnjnCTxQoD7m3rf4ciCVNDkUpiT3X84ByfgfAl9JjqZz6WGhH-hTKAShfBOzCmVF8RI","expires_in":7200}
2015-10-11 21:47:16,387 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:16,462 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnh10Bc48EHNPL0bqrKyHt2dl_crc1KoRaCJqo_I6kxvEZg6C8fX4gczn8ChpXtquHA","expires_in":7200}
2015-10-11 21:47:16,665 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [QvSI_0235vr23]"}
2015-10-11 21:47:16,813 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:16,875 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnhfw8FSA4gNpx3XjHYuLzFAU26yn-wFA0Olbjaqx5CvVPqQ3IkfnYE6scYtM3d3pPY","expires_in":7199}
2015-10-11 21:47:16,993 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:17,065 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:47:17,197 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:17,254 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnjeyRpP8f4uQc170WlJ2Dxa5csKzv2Mr3oOI67Xh4OUvClNjKk90bm0GFwgkFNdwyY","expires_in":7199}
2015-10-11 21:47:17,389 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:17,572 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":0,"errmsg":"ok"}
2015-10-11 21:47:24,615 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:47:25,070 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:25,152 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnhV2p-QF-55_-ku5eA--bpbAEhlMaXlWNPz_M6tCINsgXXZYnT8n1dIDikcLUMy0Dg","expires_in":7200}
2015-10-11 21:47:25,405 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:25,481 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnhcEHuOyB3xAQXwDxZUhch1TmQUa0wCm7pA2mKZHKIxzdMl11vzZMsv3DbhXp_c91A","expires_in":7200}
2015-10-11 21:47:25,666 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [inNvUa0244vr23]"}
2015-10-11 21:47:25,796 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:25,869 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"kNDn4u-FjscKV8HSTtRd0RxDe80epZo7AoN4eJnoDnjdON1PethKvqk4jFpi3vHYDb4LtLcilZFn0GWxKA0elHn5kvXyLWLqh4m47xz9f9c","expires_in":7200}
2015-10-11 21:47:25,991 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:47:26,054 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":46003,"errmsg":"menu no exist hint: [R0245vr18]"}
2015-10-11 21:48:00,098 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:48:00,541 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:48:00,619 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXRwBcYjAq9UsHs7xzhQkCNPNLJMtYC5KnuUPHxszZDX7z0R4pffyb2mR_LtfdT5EXVCfg_NALrcEcIAJSemoMWc","expires_in":7200}
2015-10-11 21:48:00,861 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:48:00,918 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXRwBcYjAq9UsHs7xzhQkCNMuwefPPtkklaZh87x6phv7eUz5pujTeqS-Kxt6OAMaz-v5JUOzBWu23yMO6Svuy9g","expires_in":7199}
2015-10-11 21:48:01,108 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [KNwIAA0280vr23]"}
2015-10-11 21:48:01,239 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:48:01,297 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXRwBcYjAq9UsHs7xzhQkCNMqfHz63Lol7_we4hY7EY0M-nniMyJj9qBwh6epiXKHdl78UEiLl_eq2RrqpKNl_n8","expires_in":7199}
2015-10-11 21:48:01,419 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:48:01,527 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":46003,"errmsg":"menu no exist hint: [hUpP60280vr19]"}
2015-10-11 21:49:38,773 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:49:39,216 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:49:39,298 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"1A0PJySHTzygb3NfwWJrdQvyBxq4lkgCEmHisX7dTBfA0et1DDNSRxK-XBlQU46WxGUsIErpwc-zs8fblOM2ym3WPre6WtetqNy9Ytgw5Yg","expires_in":7200}
2015-10-11 21:49:39,560 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:49:39,633 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"1A0PJySHTzygb3NfwWJrdQvyBxq4lkgCEmHisX7dTBe7m2IXuDwTbto5RJTVZk7QoaSm-9mnk8aODwN0UVbO9kkSMn0FOfVMWOdTnXAduoM","expires_in":7200}
2015-10-11 21:49:39,812 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [3MQ0378vr23]"}
2015-10-11 21:49:39,939 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:49:40,005 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"1A0PJySHTzygb3NfwWJrdQvyBxq4lkgCEmHisX7dTBedYhExrjwRYghYDpC6cVcnUzSOKJYBW5nUxQXxQTY-eL8N37y6tNQx0QcXrCn3u6s","expires_in":7199}
2015-10-11 21:49:40,135 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:49:40,201 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":46003,"errmsg":"menu no exist hint: [QYeGsA0379vr20]"}
2015-10-11 21:50:18,544 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:50:18,985 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:19,066 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"6dG6xHxvEIA04L2MCI-zbexQKnWCl8IEQxRF-wBITOUYAHxI4EXWy31BVUub3JsOY1qUBV93AbuSaa-_KYg95L4t_8L3MsdUZdXb0f8chxI","expires_in":7200}
2015-10-11 21:50:19,305 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:19,374 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"6dG6xHxvEIA04L2MCI-zbexQKnWCl8IEQxRF-wBITOXUjA24jB8uMdeJj__YiMgZtiTL5dP-DNwsULz1nLIB8OknBNjQtmqj2_7Qyv5R6iw","expires_in":7200}
2015-10-11 21:50:19,551 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [w8IrGa0418vr21]"}
2015-10-11 21:50:19,677 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:19,742 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"6dG6xHxvEIA04L2MCI-zbexQKnWCl8IEQxRF-wBITOVX0oEWYxeycM1MKSx-90olNiVQI8lBUCIhFcuw9YakyoXK7hvdASUVgntEhwd5wD0","expires_in":7200}
2015-10-11 21:50:19,860 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:19,911 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":46003,"errmsg":"menu no exist hint: [ZxzoeA0419vr20]"}
2015-10-11 21:50:49,225 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:50:49,672 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:49,763 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXc-73HxRqtzWhn0ZZ1U2mzu9O_5veWb4xjAKSLZeB9oD0xvZTDAjlseNh3tQkHnNP10Ii9SDhmmAlnVLs5gi3sU","expires_in":7200}
2015-10-11 21:50:50,001 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:50,061 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXc-73HxRqtzWhn0ZZ1U2mzvWqxi_xp5xPiwkJ1wc1oe5mu-yKpjRinGOOf38i4b6QiXrPkgaSa9Je8atfe4L_64","expires_in":7199}
2015-10-11 21:50:50,765 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":0,"errmsg":"ok"}
2015-10-11 21:50:50,895 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:50,951 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXc-73HxRqtzWhn0ZZ1U2mzsDMo_1Zywtw23M7gPKQ-5zuICbmqKsv9Mi3RiKrMkAiOniSU2WwOtUNR1H1aJhOAc","expires_in":7198}
2015-10-11 21:50:51,086 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:51,167 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"Neusoft","sub_button":[{"type":"view","name":"官网主页","url":"http:\/\/www.ccniit.com","sub_button":[]},{"type":"view","name":"新闻动态","url":"http:\/\/www.ccniit.com","sub_button":[]},{"type":"view","name":"招生","url":"http:\/\/www.ccniit.com","sub_button":[]}]}]}}
2015-10-11 21:50:51,323 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:51,386 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXc-73HxRqtzWhn0ZZ1U2mzuvZ6AzsMfzq9bOtrH0KepvYMySqoVc0s_giRTmrRgy4QMvU9WaHDUeEtXQD09EVSk","expires_in":7198}
2015-10-11 21:50:51,512 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:50:51,707 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":0,"errmsg":"ok"}
2015-10-11 21:51:08,276 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:51:08,702 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:51:08,770 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"OwlJdX4WmqzUTvC9NjpvXc-73HxRqtzWhn0ZZ1U2mzuU0Czv1crdJ-bKCHX-UXJUihv_d_XrLE6ho5ntr9zGVHdRjzzZmHry2-gOGiNxraw","expires_in":7200}
2015-10-11 21:51:09,001 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:51:09,075 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"Lo62k2OEAdgcWjlRGFTsQPG5QcPmP8w0MyR1L4Jylpt0CYtFRTjP-mQin-pf8U-DaHQW7nWHqjjcWez7QVOK4uA7LvQOjjwM4Jq-sH9IVBg","expires_in":7200}
2015-10-11 21:51:09,638 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":0,"errmsg":"ok"}
2015-10-11 21:51:09,768 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:51:09,839 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"Lo62k2OEAdgcWjlRGFTsQPG5QcPmP8w0MyR1L4JylpsTb1oUaZNg5mufxczJzq9BTr6Kl2KSHn_7wgILWno7SCDNrkPske7n_gtKcyeKKks","expires_in":7200}
2015-10-11 21:51:09,970 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
